symbol,exchange,currency,example_local_symbol,example_conid,description
XBTF,CFE,USD,XBTFF6,818339922,FTSE BITCOIN REDUCED VALUE (1/10) SETTLEMENT INDEX
XRP,CME,USD,XRPH6,785319033,CME CF XRP-DOLLAR REFERENCE RATE-NEW YORK VARIANT
YC,CBOT,USD,XCN6,602620079,MINI SIZED CORN FUTURES
YIA,CBOT,USD,YIAH25,728775880,1-YEAR ERIS SOFR SWAP FUTURES
YIB,CBOT,USD,YIBM19,842027187,7-YEAR ERIS SOFR SWAP FUTURES
YIC,CBOT,USD,YICH24,696182476,3-YEAR ERIS SOFR SWAP FUTURES
YID,CBOT,USD,YIDZ23,696182522,4-YEAR ERIS SOFR SWAP FUTURES
YIT,CBOT,USD,YITH24,654722257,2-YEAR ERIS SOFR SWAP FUTURES
YIW,CBOT,USD,YIWH21,626346573,5-YEAR ERIS SOFR SWAP FUTURES
YIY,CBOT,USD,YIYH17,842027307,10-YEAR ERIS SOFR SWAP FUTURES
YK,CBOT,USD,XKX6,597391273,MINI SIZED SOYBEAN FUTURES
YM,CBOT,USD,YMH6,770561165,E-MINI DOW JONES INDUSTRIAL AVERAGE
YW,CBOT,USD,XWN6,642254762,MINI SIZED WHEAT FUTURES
Z3N,CBOT,USD,Z3NH6,795951497,3 YEAR US TREASURY NOTE
ZAR,CME,USD,6ZH6,685002785,SOUTH AFRICAN RAND
ZB,CBOT,USD,ZBH6,792996522,US TREASURY BOND
ZC,CBOT,USD,ZCN6,602619718,CORN FUTURES
ZF,CBOT,USD,ZFH6,795951500,5 YEAR US TREASURY NOTE
ZL,CBOT,USD,ZLZ6,602619503,SOYBEAN OIL FUTURES
ZM,CBOT,USD,ZMZ6,602619821,SOYBEAN MEAL FUTURES
ZN,CBOT,USD,ZNH6,792996527,10 YEAR US TREASURY NOTE
ZO,CBOT,USD,ZON6,653757725,OAT FUTURES
ZQ,CBOT,USD,ZQF6,468552658,30 DAY FED FUNDS
ZR,CBOT,USD,ZRF6,741752262,ROUGH RICE FUTURES
ZS,CBOT,USD,ZSX6,597391703,SOYBEAN FUTURES
ZT,CBOT,USD,ZTH6,795951517,2 YEAR US TREASURY NOTE
ZW,CBOT,USD,ZWH6,642254807,WHEAT FUTURES
ZY,ICEUS,JPY,KZYH6,769319827,SWISS FRANC
